Asunto,Género,Edad,Rango-Edad,Escolaridad,Ocupación,Pertenencia étnica,Discapacidad,Orientación sexual,Identidad de género,Desplazado,Estado civil,Factor vulnerabilidad,Fecha del hecho,Mes,Día,Hora (MM:MM),Rango-hora,DEPARTAMENTO,Municipio,Barrio/vereda,Comuna/corregimiento,Zona del hecho,Circunstancia,Contexto hecho,Mecanismo múltiple,Objeto vulnerante,Presunto agresor
Sin dato,Masculino,26,25-30,Sin información,Oficiales y operarios de la construcción,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,03/01/2018,enero,miércoles,15:00:00,12:00- 17:59,HUILA,NEIVA,VIRGILIO BARCO VARGAS,Comuna 9,Cabecera municipal,Ejercicio de actividades ilícitas,Violencia interpersonal,Contundente,Alguna parte del cuerpo,No Identificado
Sin dato,Masculino,32,31-35,Técnica/Tecnológica,Miembros de las Fuerzas Armadas y de Policía,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,03/01/2018,enero,miércoles,15:40:00,12:00- 17:59,HUILA,NEIVA,TIMANCO I -IV ETAPA,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Contundente,"Alguna parte del cuerpo
Otro",Conocido
Sin dato,Femenino,27,25-30,Bachillerato,Ama de casa / Encargado (a) del hogar,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,04/01/2018,enero,jueves,9:00:00,6:00 -11:59,HUILA,NEIVA,VEREDA SAN ANTONIO DE ANACONIA CORREGIMIENTO DE VEGALARGA,Corregimiento Vegalarga,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Amigo (a)
Sin dato,Masculino,32,31-35,Bachillerato,Oficiales de la Policía Nacional,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,05/01/2018,enero,viernes,9:30:00,6:00 -11:59,HUILA,NEIVA,EL LIMONAR I HASTA VIII,Comuna 6,Cabecera municipal,Hurto,Violencia interpersonal,Punzante,Otro,Delincuencia común
Sin dato,Masculino,40,36-40,Bachillerato,Miembros de las Fuerzas Armadas y de Policía,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,05/01/2018,enero,viernes,10:00:00,6:00 -11:59,HUILA,NEIVA,SANTA ISABEL,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Otro,Conocido
Sin dato,Masculino,24,20-24,Pregrado sin terminar,Otros trabajadores empleados sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,05/01/2018,enero,viernes,21:00:00,18:00 -23:59,HUILA,NEIVA,CENTRO,Comuna 4,Cabecera municipal,Hurto,Violencia interpersonal,Contundente,Otro,Amigo (a)
Sin dato,Masculino,21,20-24,Bachillerato sin terminar,Oficios varios,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,05/01/2018,enero,viernes,2:30:00,00:00 - 5:59,HUILA,NEIVA,el tizon,Comuna 1,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Conocido
Sin dato,Femenino,72,>61,Primaria sin terminar,Ama de casa / Encargado (a) del hogar,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,06/01/2018,enero,sábado,18:00:00,18:00 -23:59,HUILA,NEIVA,VEINTE DE JULIO,Comuna 5,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Policía
Sin dato,Femenino,21,20-24,Bachillerato sin terminar,"Personal de servicios de restaurantes, alimentos y bebidas",Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,06/01/2018,enero,sábado,23:40:00,18:00 -23:59,HUILA,NEIVA,LAS PALMAS,Comuna 10,Cabecera municipal,Hurto,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Otro",Delincuencia común
Sin dato,Masculino,26,25-30,Bachillerato sin terminar,Otras ocupaciones no clasificadas,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,07/01/2018,enero,domingo,10:30:00,6:00 -11:59,HUILA,NEIVA,ASENTAMIENTO LA PRIMAVERA,Comuna 1,Cabecera municipal,Retención Legal,Violencia interpersonal,Sin dato,,Policía
Sin dato,Masculino,22,20-24,Bachillerato sin terminar,Operarios de la madera,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,07/01/2018,enero,domingo,15:15:00,12:00- 17:59,HUILA,NEIVA,SAN MARTIN DE PORRES,Comuna 7,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Otro",Conocido
Sin dato,Masculino,22,20-24,Bachillerato,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,08/01/2018,enero,lunes,16:30:00,12:00- 17:59,HUILA,NEIVA,EMAYA,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,"Otro
Arma blanca",Vecino
Sin dato,Masculino,27,25-30,Bachillerato,Oficiales y operarios de la construcción,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,09/01/2018,enero,martes,17:30:00,12:00- 17:59,HUILA,NEIVA,LOS PINOS,Comuna 2,Cabecera municipal,Hurto,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Sin dato
Sin dato,Masculino,19,18-19,Bachillerato sin terminar,Otros trabajadores empleados sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Casado (a),Sin información,09/01/2018,enero,martes,18:25:00,18:00 -23:59,HUILA,NEIVA,CENTRO,Comuna 4,Cabecera municipal,Hurto,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Otro",Sin dato
Sin dato,Femenino,29,25-30,Bachillerato,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,09/01/2018,enero,martes,19:00:00,18:00 -23:59,HUILA,NEIVA,ZONA INDUSTRIAL,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Sin dato,Sin dato,Sin dato
Lesiones,Masculino,23,20-24,Bachillerato sin terminar,Conductores de vehículos de motor,Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,10/01/2018,enero,miércoles,11:30:00,6:00 -11:59,HUILA,NEIVA,CALIXTO LEIVA,Comuna 7,Cabecera municipal,Hurto,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Sin dato
Lesiones,Masculino,23,20-24,Sin información,Sin información,Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,10/01/2018,enero,miércoles,17:30:00,12:00- 17:59,HUILA,NEIVA,LUIS IGNACIO ANDRADE,Comuna 9,Cabecera municipal,Hurto,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Delincuencia común
Sin dato,Masculino,34,31-35,Primaria sin terminar,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,11/01/2018,enero,jueves,10:30:00,6:00 -11:59,HUILA,NEIVA,CENTRO,Comuna 4,Cabecera municipal,Retención Legal,Violencia interpersonal,Contundente,Alguna parte del cuerpo,No Identificado
Sin dato,Femenino,19,18-19,Bachillerato sin terminar,Ama de casa / Encargado (a) del hogar,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Casado (a),Sin información,11/01/2018,enero,jueves,10:30:00,6:00 -11:59,HUILA,NEIVA,CENTRO,Comuna 4,Cabecera municipal,Retención Ilegal,Violencia interpersonal,Contundente,Otro,Policía
Sin dato,Masculino,25,25-30,Bachillerato sin terminar,Oficiales y operarios de la construcción,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,11/01/2018,enero,jueves,19:30:00,18:00 -23:59,HUILA,NEIVA,DIEGO DE OSPINA,Comuna 4,Cabecera municipal,Hurto,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Sin dato
Sin dato,Masculino,22,20-24,Bachillerato sin terminar,Oficios varios,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,11/01/2018,enero,jueves,21:00:00,18:00 -23:59,HUILA,NEIVA,CENTRO,Comuna 4,Cabecera municipal,Hurto,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Sin dato
Sin dato,Masculino,57,56-60,Primaria sin terminar,Vendedores ambulantes,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,11/01/2018,enero,jueves,Sin dato,Sin dato,HUILA,NEIVA,LAS COLINAS,Comuna 5,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Amigo (a)
Sin dato,Femenino,54,51-55,Primaria sin terminar,Operarios del procesamiento de alimentos y afines,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,11/01/2018,enero,jueves,Sin dato,Sin dato,HUILA,NEIVA,SEVILLA,Comuna 3,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,No Identificado
Sin dato,Masculino,16,15-17,Bachillerato sin terminar,Estudiante,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,11/01/2018,enero,jueves,18:30:00,18:00 -23:59,HUILA,NEIVA,SANTA INES,Comuna 1,Cabecera municipal,Atraco callejero o intento de,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Otro",Sin dato
Sin dato,Femenino,81,>61,Ninguna,Ninguna,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,12/01/2018,enero,viernes,Sin dato,Sin dato,HUILA,NEIVA,ZONA INDUSTRIAL,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Otro",No Identificado
Sin dato,Masculino,20,20-24,Básica primaria,Oficiales y operarios de la construcción,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,13/01/2018,enero,sábado,22:00:00,18:00 -23:59,HUILA,NEIVA,MIRA RIO I A III ETAPA,Comuna 1,Cabecera municipal,Hurto,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Policía
Sin dato,Masculino,22,20-24,Técnica/Tecnológica,Miembros de las Fuerzas Armadas y de Policía,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,14/01/2018,enero,domingo,15:00:00,12:00- 17:59,HUILA,NEIVA,TUQUILA,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Herramientas,Sin dato
Sin dato,Masculino,22,20-24,Técnica/Tecnológica,Miembros de las Fuerzas Armadas y de Policía,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,14/01/2018,enero,domingo,19:30:00,18:00 -23:59,HUILA,NEIVA,CONJUNTO RESERVA DE LA SIERRA,Comuna 7,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Policía
Sin dato,Masculino,71,>61,Primaria sin terminar,Otras ocupaciones no clasificadas,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Casado (a),Sin información,14/01/2018,enero,domingo,19:30:00,18:00 -23:59,HUILA,NEIVA,BOSQUES DE SAN LUIS,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Sin dato
Sin dato,Femenino,36,31-35,Básica primaria,Oficiales y operarios de la construcción,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,14/01/2018,enero,domingo,20:00:00,18:00 -23:59,HUILA,NEIVA,BOSQUES DE SAN LUIS,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Otro",Policía
Sin dato,Masculino,28,25-30,Ninguna,Ocupaciones ilícitas,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,14/01/2018,enero,domingo,20:20:00,18:00 -23:59,HUILA,NEIVA,LAS PALMAS,Comuna 10,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Sin dato
Sin dato,Masculino,17,15-17,"Diplomados, cursos",Estudiante,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,14/01/2018,enero,domingo,20:30:00,18:00 -23:59,HUILA,NEIVA,IPANEMA (E/C),Comuna 7,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Sin dato
Sin dato,Femenino,22,20-24,Bachillerato sin terminar,Ama de casa / Encargado (a) del hogar,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,14/01/2018,enero,domingo,21:00:00,18:00 -23:59,HUILA,NEIVA,RESERVA DE LA SIERRA,Comuna 7,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Otro",Policía
Sin dato,Femenino,17,15-17,Bachillerato sin terminar,Estudiante,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,14/01/2018,enero,domingo,21:30:00,18:00 -23:59,HUILA,NEIVA,PANORAMA,Comuna 8,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Vecino
Sin dato,Femenino,26,25-30,Bachillerato sin terminar,Vendedores ambulantes,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,15/01/2018,enero,lunes,10:00:00,6:00 -11:59,HUILA,NEIVA,JOSE MARIA CARBONELL,Comuna 9,Cabecera municipal,Riña,Violencia interpersonal,Sin dato,,Conocido
Sin dato,Femenino,40,36-40,Bachillerato sin terminar,"Personal de servicios de restaurantes, alimentos y bebidas",Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,15/01/2018,enero,lunes,19:00:00,18:00 -23:59,HUILA,NEIVA,BOSQUES DE TAMARINDO,Comuna 2,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Otro
Sin dato,Femenino,27,25-30,Técnica/Tecnológica,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,15/01/2018,enero,lunes,Sin dato,Sin dato,HUILA,NEIVA,CANDIDO LEGUIZAMO,Comuna 1,Cabecera municipal,Riña,Violencia interpersonal,Sin dato,,Vecino
Sin dato,Masculino,23,20-24,Bachillerato,Ninguna,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Casado (a),Sin información,16/01/2018,enero,martes,8:00:00,6:00 -11:59,HUILA,NEIVA,SURABASTOS,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Conocido
Sin dato,Masculino,43,41-45,Básica primaria,Conductores de vehículos de motor,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,16/01/2018,enero,martes,16:00:00,12:00- 17:59,HUILA,NEIVA,CENTRO,Comuna 4,Cabecera municipal,Riña,Violencia interpersonal,Sin dato,,Policía
Sin dato,Masculino,18,18-19,Bachillerato sin terminar,Oficiales y operarios de la construcción,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,16/01/2018,enero,martes,17:10:00,12:00- 17:59,HUILA,NEIVA,EL CENTRO,Comuna 4,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Sin dato
Sin dato,Femenino,23,20-24,Primaria sin terminar,Ama de casa / Encargado (a) del hogar,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,16/01/2018,enero,martes,17:10:00,12:00- 17:59,HUILA,NEIVA,CENTRO,Comuna 4,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Sin dato
Sin dato,Masculino,19,18-19,Básica primaria,Soldados de las Fuerzas Militares,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,16/01/2018,enero,martes,17:10:00,12:00- 17:59,HUILA,NEIVA,CENTRO,Comuna 4,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Sin dato
Sin dato,Masculino,56,56-60,Básica primaria,Oficios varios,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,16/01/2018,enero,martes,17:10:00,12:00- 17:59,HUILA,NEIVA,CENTRO,Comuna 4,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Sin dato
Sin dato,Masculino,21,20-24,Bachillerato sin terminar,Soldados de las Fuerzas Militares,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,17/01/2018,enero,miércoles,14:00:00,12:00- 17:59,HUILA,NEIVA,MANZANARES,Comuna 6,Cabecera municipal,Retención Legal,Violencia interpersonal,Sin dato,,Policía
Sin dato,Femenino,24,20-24,Bachillerato,Agentes comerciales y corredores,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,17/01/2018,enero,miércoles,18:00:00,18:00 -23:59,HUILA,NEIVA,LAS PALMAS,Comuna 10,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,No Identificado
Lesiones,Masculino,77,>61,Ninguna,Ninguna,Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,18/01/2018,enero,jueves,4:30:00,00:00 - 5:59,HUILA,NEIVA,SURABASTOS,Comuna 6,Cabecera municipal,Sin dato,Violencia interpersonal,Cortante,Utensilios de cocina y de mesa,Amigo (a)
Sin dato,Masculino,35,31-35,Básica primaria,Oficios varios,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,19/01/2018,enero,viernes,Sin dato,Sin dato,HUILA,NEIVA,LAS MERCEDES,Comuna 1,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Compañero de celda
Sin dato,Femenino,26,25-30,Pregrado sin terminar,Oficios varios,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,19/01/2018,enero,viernes,8:00:00,6:00 -11:59,HUILA,NEIVA,ALTICO,Comuna 4,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Vecino
Sin dato,Masculino,36,36-40,Pregrado sin terminar,"Profesionales en organización, administración de empresas, análisis financiero y afines",Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,20/01/2018,enero,sábado,7:30:00,6:00 -11:59,HUILA,NEIVA,LA INDEPENDENCIA,Comuna 5,Cabecera municipal,Retención Legal,Violencia interpersonal,Contundente,"Alguna parte del cuerpo
Otro",Policía
Sin dato,Masculino,27,25-30,Bachillerato,Representantes comerciales y técnicos de ventas,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,20/01/2018,enero,sábado,10:00:00,6:00 -11:59,HUILA,NEIVA,LA ESPERANZA,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Policía
Sin dato,Masculino,71,>61,Primaria sin terminar,"Agricultores y trabajadores forestales, pecuarios y pesqueros",Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,20/01/2018,enero,sábado,14:00:00,12:00- 17:59,HUILA,NEIVA,ENRIQUE OLAYA HERRERA,Comuna 10,Cabecera municipal,Hurto,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Vecino
Sin dato,Femenino,32,31-35,Bachillerato,Asistentes en trabajo social y comunitario,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Casado (a),Sin información,20/01/2018,enero,sábado,14:30:00,12:00- 17:59,HUILA,NEIVA,TENERIFE,Comuna 3,Cabecera municipal,Retención Legal,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Otro personal de custodia
Lesiones,Masculino,29,25-30,Sin información,Sin información,Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Separado (a),Sin información,21/01/2018,enero,domingo,0:30:00,00:00 - 5:59,HUILA,NEIVA,VILLA MAGDALENA,Comuna 9,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Otro,Policía
Lesiones,Masculino,43,41-45,Básica primaria,Conductores de vehículos de motor,Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,21/01/2018,enero,domingo,0:30:00,00:00 - 5:59,HUILA,NEIVA,AVENIDA CIRCUNVALAR,Comuna 4,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Otro",Policía
Sin dato,Masculino,62,>61,Básica primaria,"Mensajeros, porteadores y repartidores",Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,21/01/2018,enero,domingo,14:00:00,12:00- 17:59,HUILA,NEIVA,PEÑON REDONDO,Comuna 8,Cabecera municipal,Riña,Violencia interpersonal,Cortante,Otro,Vecino
Sin dato,Femenino,50,46-50,Pregrado sin terminar,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,21/01/2018,enero,domingo,Sin dato,Sin dato,HUILA,NEIVA,AVENIDA CIRCUNVALAR,Comuna 4,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Otro,Policía
Sin dato,Masculino,37,36-40,Primaria sin terminar,Oficios varios,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,22/01/2018,enero,lunes,22:00:00,18:00 -23:59,HUILA,NEIVA,ALFONSO LOPEZ PUMAREJO,Comuna 8,Cabecera municipal,Sin dato,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Sin dato
Sin dato,Masculino,44,41-45,Primaria sin terminar,Oficios varios,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Casado (a),Sin información,22/01/2018,enero,lunes,1:00:00,00:00 - 5:59,HUILA,NEIVA,CUARTO CENTENARIO,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Vecino
Sin dato,Masculino,40,36-40,Bachillerato,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,22/01/2018,enero,lunes,1:00:00,00:00 - 5:59,HUILA,NEIVA,LUIS CARLOS GALAN,Comuna 9,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Conocido
Sin dato,Masculino,50,46-50,Bachillerato,"Agricultores y trabajadores forestales, pecuarios y pesqueros",Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,22/01/2018,enero,lunes,8:30:00,6:00 -11:59,HUILA,NEIVA,CENTRO,Comuna 4,Cabecera municipal,Retención Legal,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,No Identificado
